"","Country","Score","Ranking"
"1","Country","Overall score 2017","Ranking 2017"
"2","Iran","8.6023882221226842","1"
"3","Afghanistan","8.3816869524372937","2"
"4","Guinea-Bissau","8.3494441188789121","3"
"5","Tajikistan","8.2839916137315264","4"
"6","Laos","8.2799608775468503","5"
"7","Mozambique","8.0752101235896454","6"
"8","Mali","7.9739243377411988","7"
"9","Uganda","7.9547886900917257","8"
"10","Cambodia","7.9423949448902551","9"
"11","Tanzania","7.8869102520215169","10"
"12","Kenya","7.7159325218609451","11"
"13","Liberia","7.618025125736418","12"
"14","Myanmar","7.5757623817568209","13"
"15","Nepal","7.5668635688045551","14"
"16","Burkina Faso","7.5383662459569667","15"
"17","Paraguay","7.5275561824454584","16"
"18","Haiti","7.5010414658735236","17"
"19","Vietnam","7.4447377431994166","18"
"20","Zambia","7.4322833434165041","19"
"21","Sao Tome And Principe","7.4209723655465476","20"
"22","Niger","7.3770833175008477","21"
"23","Benin","7.3738595904764122","22"
"24","Bolivia","7.1740230019973286","23"
"25","Lesotho","7.1531003030310156","24"
"26","Sri Lanka","7.1459434598489473","25"
"27","Sierra Leone","7.1391798428055084","26"
"28","Lebanon","7.0698234853220914","27"
"29","Vanuatu","7.0207217112778686","28"
"30","Sudan","7.0151389015300367","29"
"31","Panama","7.0111084748382897","30"
"32","Cape Verde","6.9906922502320947","31"
"33","Mauritania","6.9159791642630388","32"
"34","Nigeria","6.9004592026749609","33"
"35","Ghana","6.8394856356169464","34"
"36","Trinidad and Tobago","6.8046169631120854","35"
"37","Zimbabwe","6.8002451422383476","36"
"38","Yemen","6.7974195440707472","37"
"39","Marshall Islands","6.7038911067699161","38"
"40","Gambia","6.7017621835596071","39"
"41","Rwanda","6.6931059165730549","40"
"42","Argentina","6.690047026902211","41"
"43","Dominican Republic","6.6880894247297231","42"
"44","Turkey","6.6492720414713027","43"
"45","Thailand","6.6492665358544603","44"
"46","Nicaragua","6.6407793986626551","45"
"47","Pakistan","6.6372678045883458","46"
"48","Jamaica","6.6045181538301998","47"
"49","Namibia","6.5892263252832315","48"
"50","Angola","6.5471525233280339","49"
"51","Venezuela","6.5348277109231354","50"
"52","China","6.5266189717121303","51"
"53","Ukraine","6.524400539617651","52"
"54","Cote D'ivoire","6.5086393848277737","53"
"55","Algeria","6.4774091680720414","54"
"56","Timor-Leste (East Timor)","6.4349273182392404","55"
"57","Kazakhstan","6.4214730093243366","56"
"58","Morocco","6.3834413839470532","57"
"59","Ecuador","6.3658012820152639","58"
"60","Tunisia","6.3652729147992915","59"
"61","Kyrgyzstan","6.3261383903048998","60"
"62","Indonesia","6.3186977613530528","61"
"63","Senegal","6.3082282835550068","62"
"64","Guyana","6.2371122358689277","63"
"65","Russia","6.2217497268106312","64"
"66","Philippines","6.2046719644508883","65"
"67","Brazil","6.1980404723174249","66"
"68","Guatemala","6.1701643926143692","67"
"69","Papua New Guinea","6.1347784003238122","68"
"70","Mongolia","6.1002805487624192","69"
"71","Malaysia","6.0979910324754361","70"
"72","Uzbekistan","6.0875945689884201","71"
"73","United Arab Emirates","6.0596903506139101","72"
"74","Grenada","6.0442374263453651","73"
"75","Botswana","6.0245023924360153","74"
"76","Honduras","5.9731004820618345","75"
"77","St. Vincent And The Grenadines","5.9605782623490633","76"
"78","Costa Rica","5.9291665439844845","77"
"79","Mauritius","5.9182379178162794","78"
"80","Bosnia-Herzegovina","5.9071377486772327","79"
"81","Malawi","5.856554727035304","80"
"82","Bahrain","5.8012733518844932","81"
"83","Bangladesh","5.7902895688849361","82"
"84","Serbia","5.7555291589605062","83"
"85","Mexico","5.7535021138157001","84"
"86","Albania","5.7492787271637322","85"
"87","St. Lucia","5.7210941258988068","86"
"88","Egypt","5.6620226480611926","87"
"89","India","5.5811701537278635","88"
"90","Hong Kong Sar, China","5.5404837555107607","89"
"91","Kuwait","5.5284692505429449","90"
"92","El Salvador","5.4809485985076343","91"
"93","Moldova","5.4275560432446106","92"
"94","Saudi Arabia","5.4272867325642853","93"
"95","Hungary","5.4140305051052025","94"
"96","Italy","5.4114804161399048","95"
"97","Luxembourg","5.4028293008122885","96"
"98","Georgia","5.3736197636606864","97"
"99","Japan","5.3623971707452549","98"
"100","South Africa","5.3248739487949077","99"
"101","Peru","5.2542325174969289","100"
"102","Uruguay","5.1647823502545798","101"
"103","Switzerland","5.145227307963756","102"
"104","Canada","5.1411790384507174","103"
"105","Dominica","5.1151379657331804","104"
"106","Greece","5.109352417940582","105"
"107","Macedonia","5.1039188723259894","106"
"108","Qatar","5.1003179049739078","107"
"109","Austria","5.0614554759401642","108"
"110","Chile","4.9407136731536356","109"
"111","Netherlands","4.9343030382431206","110"
"112","Jordan","4.9006723437970656","111"
"113","Portugal","4.9003914084889173","112"
"114","Korea, South","4.8957565749236149","113"
"115","Spain","4.867453072557832","114"
"116","Cyprus","4.8667180010371327","115"
"117","United States","4.8464851741903621","116"
"118","Singapore","4.8349572023629204","117"
"119","United Kingdom","4.805851534535714","118"
"120","Azerbaijan","4.7829128242041952","119"
"121","Slovakia","4.7793234573605003","120"
"122","Germany","4.7764725151926761","121"
"123","Montenegro","4.7574397931318302","122"
"124","Belgium","4.658774497983309","123"
"125","Ireland","4.6154646333309373","124"
"126","Colombia","4.570825494759033","125"
"127","Czech Republic","4.5650506901708727","126"
"128","Norway","4.5609504098495375","127"
"129","France","4.5176267112981519","128"
"130","Romania","4.5012355694907837","129"
"131","Poland","4.4991701575811041","130"
"132","Australia","4.4905537749822706","131"
"133","Iceland","4.4707589718124803","132"
"134","Latvia","4.4423517230597165","133"
"135","Armenia","4.4378094732602218","134"
"136","Malta","4.3672337372261119","135"
"137","Taiwan, China","4.3378644840238687","136"
"138","Israel","4.2526119964124218","137"
"139","Sweden","4.248139836163177","138"
"140","Croatia","4.1123747050756814","139"
"141","Denmark","4.0531371640692893","140"
"142","Slovenia","4.0205503044345825","141"
"143","New Zealand","3.9084381575562479","142"
"144","Bulgaria","3.8697291619862924","143"
"145","Estonia","3.8305863918086107","144"
