"","X","Country.Name","Financial Inclusion"
"1",23,"Afghanistan",14.8933124542236
"2",24,"Albania",40.0151710510254
"3",25,"Algeria",42.7766265869141
"4",26,"Argentina",48.7084884643555
"5",27,"Armenia",47.7590179443359
"6",28,"Australia",99.5193710327148
"7",29,"Austria",98.1636657714844
"8",30,"Azerbaijan",28.5712032318115
"9",31,"Bahrain",82.6128463745117
"10",32,"Bangladesh",50.0469131469727
"11",33,"Belarus",81.1558837890625
"12",34,"Belgium",98.6383209228516
"13",35,"Benin",38.4892234802246
"14",36,"Bolivia",54.4050559997559
"15",37,"Bosnia and Herzegovina",58.8434982299805
"16",38,"Botswana",51.0324554443359
"17",39,"Brazil",70.0439453125
"18",40,"Bulgaria",72.2040328979492
"19",41,"Burkina Faso",43.1599922180176
"20",42,"Cambodia",21.6717834472656
"21",43,"Cameroon",34.5907897949219
"22",44,"Canada",99.7268829345703
"23",45,"Central African Republic",13.745945930481
"24",46,"Chad",21.7591934204102
"25",47,"Chile",74.3492431640625
"26",48,"China",80.229118347168
"27",49,"Colombia",45.7592277526855
"28",50,"Congo, Dem. Rep.",25.8256759643555
"29",51,"Congo, Rep.",26.0927505493164
"30",52,"Costa Rica",67.8383560180664
"31",53,"Cote d'Ivoire",41.3309555053711
"32",54,"Croatia",86.1434555053711
"33",55,"Cyprus",88.7157592773438
"34",56,"Czech Republic",80.9922637939453
"35",57,"Denmark",99.9173736572266
"36",58,"Dominican Republic",56.2391929626465
"37",59,"Ecuador",51.2460174560547
"38",60,"Egypt",32.7843589782715
"39",61,"El Salvador",30.3529472351074
"40",62,"Estonia",97.9939727783203
"41",63,"Ethiopia",34.8275680541992
"42",64,"Finland",99.7854156494141
"43",65,"France",94.0040435791016
"44",66,"Gabon",58.6019973754883
"45",67,"Georgia",61.2304458618164
"46",68,"Germany",99.1411895751953
"47",69,"Ghana",57.7175254821777
"48",70,"Greece",85.4665222167969
"49",71,"Guatemala",44.1070098876953
"50",72,"Guinea",23.4860343933105
"51",73,"Haiti",32.6211853027344
"52",74,"Honduras",45.3429718017578
"53",75,"Hong Kong SAR, China",95.2832565307617
"54",76,"Hungary",74.9449691772461
"55",77,"India",79.8753280639648
"56",78,"Indonesia",48.8574523925781
"57",79,"Iran",93.9819183349609
"58",80,"Iraq",22.6651515960693
"59",81,"Ireland",95.3404541015625
"60",82,"Israel",92.8149642944336
"61",83,"Italy",93.7850189208984
"62",84,"Japan",98.2433929443359
"63",85,"Jordan",42.4930229187012
"64",86,"Kazakhstan",58.6975326538086
"65",87,"Kenya",81.5675659179688
"66",88,"Korea, South",94.8510131835938
"67",89,"Kosovo",52.2733993530273
"68",90,"Kuwait",79.8401565551758
"69",91,"Kyrgyzstan",39.9420013427734
"70",92,"Laos",29.05641746521
"71",93,"Latvia",93.2224731445313
"72",94,"Lebanon",44.7514228820801
"73",95,"Lesotho",45.5638160705566
"74",96,"Liberia",35.7138404846191
"75",97,"Libya",65.6675186157227
"76",98,"Lithuania",82.8838500976563
"77",99,"Luxembourg",98.7678527832031
"78",100,"Macedonia",76.5687713623047
"79",101,"Madagascar",17.8678703308105
"80",102,"Malawi",33.7139320373535
"81",103,"Malaysia",85.34375
"82",104,"Mali",35.4166793823242
"83",105,"Malta",97.3629150390625
"84",106,"Mauritania",20.8725070953369
"85",107,"Mauritius",89.842529296875
"86",108,"Mexico",36.9319190979004
"87",109,"Moldova",43.7856521606445
"88",110,"Mongolia",92.9711685180664
"89",111,"Montenegro",68.3617935180664
"90",112,"Morocco",28.6444606781006
"91",113,"Mozambique",41.6701049804688
"92",114,"Myanmar",25.9922981262207
"93",115,"Namibia",80.6334991455078
"94",116,"Nepal",45.3855743408203
"95",117,"Netherlands",99.6376190185547
"96",118,"New Zealand",99.1784439086914
"97",119,"Nicaragua",30.8619918823242
"98",120,"Niger",15.5232448577881
"99",121,"Nigeria",39.6668586730957
"100",122,"Norway",99.7451400756836
"101",123,"Pakistan",21.2932453155518
"102",124,"Panama",46.4942588806152
"103",125,"Paraguay",48.6468620300293
"104",126,"Peru",42.6031799316406
"105",127,"Philippines",34.4984092712402
"106",128,"Poland",86.7333068847656
"107",129,"Portugal",92.3409881591797
"108",130,"Romania",57.7518043518066
"109",131,"Russia",75.7588882446289
"110",132,"Rwanda",50.0197944641113
